name,car_sales_num,category,year-month
スバル,454,camp,2022-11-01
ホンダ,,camp,2022-11-01
マツダ,453,camp,2022-11-01
日産,2297,camp,2022-11-01
トヨタ,742,camp,2022-11-01
その他,2,camp,2022-11-01
合計,21081,camp,2022-11-01
スズキ,5124,track,2022-11-01
ダイハツ,8000,track,2022-11-01
三菱,289,track,2022-11-01
スバル,351,track,2022-11-01
ホンダ,23,track,2022-11-01
マツダ,202,track,2022-11-01
日産,754,track,2022-11-01
トヨタ,294,track,2022-11-01
その他,8,track,2022-11-01
合計,15045,track,2022-11-01
スズキ,45104,all,2022-10-01
ダイハツ,55779,all,2022-10-01
三菱,3458,all,2022-10-01
スバル,1752,all,2022-10-01
ホンダ,22439,all,2022-10-01
マツダ,2724,all,2022-10-01
日産,14315,all,2022-10-01
トヨタ,2030,all,2022-10-01
その他,16,all,2022-10-01
合計,147617,all,2022-10-01
スズキ,34219,passenger,2022-10-01
ダイハツ,37116,passenger,2022-10-01
三菱,2566,passenger,2022-10-01
スバル,924,passenger,2022-10-01
ホンダ,20053,passenger,2022-10-01
マツダ,2163,passenger,2022-10-01
日産,11552,passenger,2022-10-01
トヨタ,1012,passenger,2022-10-01
その他,2,passenger,2022-10-01
合計,109607,passenger,2022-10-01
スズキ,10885,cargo,2022-10-01
ダイハツ,18663,cargo,2022-10-01
三菱,892,cargo,2022-10-01
スバル,828,cargo,2022-10-01
ホンダ,2386,cargo,2022-10-01
マツダ,561,cargo,2022-10-01
日産,2763,cargo,2022-10-01
トヨタ,1018,cargo,2022-10-01
その他,14,cargo,2022-10-01
合計,38010,cargo,2022-10-01
スズキ,1317,ban,2022-10-01
ダイハツ,,ban,2022-10-01
三菱,,ban,2022-10-01
スバル,,ban,2022-10-01
ホンダ,2348,ban,2022-10-01
マツダ,,ban,2022-10-01
日産,,ban,2022-10-01
トヨタ,,ban,2022-10-01
その他,,ban,2022-10-01
合計,3665,ban,2022-10-01
スズキ,5258,camp,2022-10-01
ダイハツ,9690,camp,2022-10-01
三菱,624,camp,2022-10-01
スバル,431,camp,2022-10-01
ホンダ,,camp,2022-10-01
マツダ,388,camp,2022-10-01
日産,2037,camp,2022-10-01
トヨタ,682,camp,2022-10-01
その他,1,camp,2022-10-01
合計,19111,camp,2022-10-01
スズキ,4310,track,2022-10-01
ダイハツ,8973,track,2022-10-01
三菱,268,track,2022-10-01
スバル,397,track,2022-10-01
ホンダ,38,track,2022-10-01
マツダ,173,track,2022-10-01
日産,726,track,2022-10-01
トヨタ,336,track,2022-10-01
その他,13,track,2022-10-01
合計,15234,track,2022-10-01
スズキ,36141,all,2022-04-01
ダイハツ,42474,all,2022-04-01
三菱,2424,all,2022-04-01
スバル,1590,all,2022-04-01
ホンダ,22554,all,2022-04-01
マツダ,2232,all,2022-04-01
日産,10481,all,2022-04-01
トヨタ,2958,all,2022-04-01
その他,5,all,2022-04-01
合計,120859,all,2022-04-01
スズキ,28214,passenger,2022-04-01
ダイハツ,27817,passenger,2022-04-01
三菱,1976,passenger,2022-04-01
スバル,860,passenger,2022-04-01
ホンダ,19778,passenger,2022-04-01
マツダ,1810,passenger,2022-04-01
日産,8431,passenger,2022-04-01
トヨタ,1892,passenger,2022-04-01
その他,5,passenger,2022-04-01
合計,90783,passenger,2022-04-01
スズキ,7927,cargo,2022-04-01
ダイハツ,14657,cargo,2022-04-01
三菱,448,cargo,2022-04-01
スバル,730,cargo,2022-04-01
ホンダ,2776,cargo,2022-04-01
マツダ,422,cargo,2022-04-01
日産,2050,cargo,2022-04-01
トヨタ,1066,cargo,2022-04-01
その他,,cargo,2022-04-01
合計,30076,cargo,2022-04-01
スズキ,26,ban,2022-04-01
ダイハツ,,ban,2022-04-01
三菱,,ban,2022-04-01
スバル,,ban,2022-04-01
ホンダ,2731,ban,2022-04-01
マツダ,,ban,2022-04-01
日産,,ban,2022-04-01
トヨタ,,ban,2022-04-01
その他,,ban,2022-04-01
合計,2757,ban,2022-04-01
スズキ,4144,camp,2022-04-01
ダイハツ,7425,camp,2022-04-01
三菱,265,camp,2022-04-01
スバル,297,camp,2022-04-01
ホンダ,,camp,2022-04-01
マツダ,304,camp,2022-04-01
日産,1650,camp,2022-04-01
トヨタ,671,camp,2022-04-01
その他,,camp,2022-04-01
合計,14756,camp,2022-04-01
スズキ,3757,track,2022-04-01
ダイハツ,7232,track,2022-04-01
三菱,183,track,2022-04-01
スバル,433,track,2022-04-01
ホンダ,45,track,2022-04-01
マツダ,118,track,2022-04-01
日産,400,track,2022-04-01
トヨタ,395,track,2022-04-01
その他,,track,2022-04-01
合計,12563,track,2022-04-01
スズキ,42090,all,2020-12-01
ダイハツ,45002,all,2020-12-01
三菱,2979,all,2020-12-01
スバル,1289,all,2020-12-01
ホンダ,24457,all,2020-12-01
マツダ,2431,all,2020-12-01
日産,15244,all,2020-12-01
トヨタ,2639,all,2020-12-01
その他,12,all,2020-12-01
合計,136143,all,2020-12-01
スズキ,32279,passenger,2020-12-01
ダイハツ,32963,passenger,2020-12-01
三菱,2380,passenger,2020-12-01
スバル,712,passenger,2020-12-01
ホンダ,19845,passenger,2020-12-01
マツダ,1987,passenger,2020-12-01
日産,12625,passenger,2020-12-01
トヨタ,1701,passenger,2020-12-01
その他,12,passenger,2020-12-01
合計,104504,passenger,2020-12-01
スズキ,9811,cargo,2020-12-01
ダイハツ,12039,cargo,2020-12-01
三菱,599,cargo,2020-12-01
スバル,577,cargo,2020-12-01
ホンダ,4612,cargo,2020-12-01
マツダ,444,cargo,2020-12-01
日産,2619,cargo,2020-12-01
トヨタ,938,cargo,2020-12-01
その他,,cargo,2020-12-01
合計,31639,cargo,2020-12-01
スズキ,281,ban,2020-12-01
ダイハツ,42,ban,2020-12-01
三菱,,ban,2020-12-01
スバル,,ban,2020-12-01
ホンダ,2767,ban,2020-12-01
マツダ,,ban,2020-12-01
日産,,ban,2020-12-01
トヨタ,,ban,2020-12-01
その他,,ban,2020-12-01
合計,3090,ban,2020-12-01
スズキ,5156,camp,2020-12-01
ダイハツ,5072,camp,2020-12-01
三菱,350,camp,2020-12-01
スバル,250,camp,2020-12-01
ホンダ,,camp,2020-12-01
マツダ,310,camp,2020-12-01
日産,1936,camp,2020-12-01
トヨタ,622,camp,2020-12-01
その他,,camp,2020-12-01
合計,13696,camp,2020-12-01
スズキ,4374,track,2020-12-01
ダイハツ,6925,track,2020-12-01
三菱,249,track,2020-12-01
スバル,327,track,2020-12-01
ホンダ,1845,track,2020-12-01
マツダ,134,track,2020-12-01
日産,683,track,2020-12-01
トヨタ,316,track,2020-12-01
その他,,track,2020-12-01
合計,14853,track,2020-12-01
スズキ,42277,all,2020-06-01
ダイハツ,37752,all,2020-06-01
三菱,3766,all,2020-06-01
スバル,1536,all,2020-06-01
ホンダ,23664,all,2020-06-01
マツダ,1827,all,2020-06-01
日産,19553,all,2020-06-01
トヨタ,2129,all,2020-06-01
その他,11,all,2020-06-01
合計,132515,all,2020-06-01
スズキ,33433,passenger,2020-06-01
ダイハツ,25863,passenger,2020-06-01
三菱,3102,passenger,2020-06-01
スバル,1023,passenger,2020-06-01
ホンダ,19449,passenger,2020-06-01
マツダ,1468,passenger,2020-06-01
日産,16209,passenger,2020-06-01
トヨタ,1207,passenger,2020-06-01
その他,11,passenger,2020-06-01
合計,101765,passenger,2020-06-01
スズキ,8844,cargo,2020-06-01
ダイハツ,11889,cargo,2020-06-01
三菱,664,cargo,2020-06-01
スバル,513,cargo,2020-06-01
ホンダ,4215,cargo,2020-06-01
